Title,Rating,Price,Availability,Category,Image URL
A Light in the Attic,Three,Â£51.77,In stock,,http://books.toscrape.com/dia/cache/2c/da/2cdad67c44b002e7ead0cc35693c0e8b.jpg
Tipping the Velvet,One,Â£53.74,In stock,,http://books.toscrape.com/dia/cache/26/0c/260c6ae16bce31c8f8c95daddd9f4a1c.jpg
Soumission,One,Â£50.10,In stock,,http://books.toscrape.com/dia/cache/3e/ef/3eef99c9d9adef34639f510662022830.jpg
Sharp Objects,Four,Â£47.82,In stock,,http://books.toscrape.com/dia/cache/32/51/3251cf3a3412f53f339e42cac2134093.jpg
Sapiens: A Brief History of Humankind,Five,Â£54.23,In stock,,http://books.toscrape.com/dia/cache/be/a5/bea5697f2534a2f86a3ef27b5a8c12a6.jpg
The Requiem Red,One,Â£22.65,In stock,,http://books.toscrape.com/dia/cache/68/33/68339b4c9bc034267e1da611ab3b34f8.jpg
The Dirty Little Secrets of Getting Your Dream Job,Four,Â£33.34,In stock,,http://books.toscrape.com/dia/cache/92/27/92274a95b7c251fea59a2b8a78275ab4.jpg
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Three,Â£17.93,In stock,,http://books.toscrape.com/dia/cache/3d/54/3d54940e57e662c4dd1f3ff00c78cc64.jpg
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Four,Â£22.60,In stock,,http://books.toscrape.com/dia/cache/66/88/66883b91f6804b2323c8369331cb7dd1.jpg
The Black Maria,One,Â£52.15,In stock,,http://books.toscrape.com/dia/cache/58/46/5846057e28022268153beff6d352b06c.jpg
"Starving Hearts (Triangular Trade Trilogy, #1)",Two,Â£13.99,In stock,,http://books.toscrape.com/dia/cache/be/f4/bef44da28c98f905a3ebec0b87be8530.jpg
Shakespeare's Sonnets,Four,Â£20.66,In stock,,http://books.toscrape.com/dia/cache/10/48/1048f63d3b5061cd2f424d20b3f9b666.jpg
