Category,Num Books
Travel,11
Mystery,20
Historical Fiction,20
Sequential Art,20
Classics,19
Philosophy,11
Romance,20
Womens Fiction,17
Fiction,20
Childrens,20
Religion,7
Nonfiction,20
Music,13
Default,20
Science Fiction,16
Sports and Games,5
Add a comment,20
Fantasy,20
New Adult,6
Young Adult,20
Science,14
Poetry,19
Paranormal,1
Art,8
Psychology,7
Autobiography,9
Parenting,1
Adult Fiction,1
Humor,10
Horror,17
History,18
Food and Drink,20
Christian Fiction,6
Business,12
Biography,5
Thriller,11
Contemporary,3
Spirituality,6
Academic,1
Self Help,5
Historical,2
Christian,3
Suspense,1
Short Stories,1
Novels,1
Health,4
Politics,3
Cultural,1
Erotica,1
Crime,1
